diagram,branch_index,point_index,alpha,beta,rho0,L,mu,l0,mode_k
L,0,6,20.0,8.0,0.4,0.6999999999994863,-4.903776952293912e-27,5.6105803812838094e-08,0.5
L,2,15,20.0,8.0,0.4,2.6559255575955047,-0.02312940660057549,-5.462118921435867e-09,0.5
L,2,186,20.0,8.0,0.4,2.1807126190317856,0.027128088249344852,-2.861831819253348e-08,0.5
L,3,0,20.0,8.0,0.4,4.0,0.012967863368662106,0.21514914812265026,1.25
L,4,150,20.0,8.0,0.4,2.794445745154445,-0.007815757782749287,5.721005309691957,1.0
L,5,4,20.0,8.0,0.4,6.3597051788801675,-0.007424506253481385,1.4338559582898072,1.5
L,6,170,20.0,8.0,0.4,5.046588774810669,0.0066393099041837395,6.282392505330678,1.5
L,7,2,20.0,8.0,0.4,6.166205191148169,0.003783633577987259,14.620563030767258,2.25
L,8,150,20.0,8.0,0.4,6.348062225647083,-0.003707722535901903,14.363551356643905,2.0
